decimal_year,gmsl_mm,date
2001.4548887698174,6.615,2001-06-16
2001.4821843593643,13.117,2001-06-25
2001.5092320798265,14.472,2001-07-05
2001.5363641705558,14.073,2001-07-15
2001.5635938261046,10.636,2001-07-25
2001.5906676098903,13.416,2001-08-04
2001.6178926459625,8.761,2001-08-14
2001.6450530954187,9.36,2001-08-24
2001.6721971422128,10.8,2001-09-03
2001.6993229122063,13.57,2001-09-13
2001.7266788034908,13.342,2001-09-23
2001.753717330767,13.707,2001-10-03
2001.7809074951977,10.297,2001-10-13
2001.8080534779608,9.04,2001-10-22
2001.8352175953985,14.235,2001-11-01
2001.8623989379091,15.855,2001-11-11
2001.8901580904942,13.068,2001-11-21
2001.9167239098142,9.549,2001-12-01
2001.9552652144394,12.677,2001-12-15
2001.9710364012171,10.869,2001-12-21
2001.9982159334422,14.138,2001-12-31
2002.0246690029198,10.199,2002-01-10
2002.0525575041388,4.79,2002-01-20
2002.080528038841,11.527,2002-01-30
2002.1068991496047,11.968,2002-02-09
2002.1338222272666,12.485,2002-02-18
2002.161230953673,11.697,2002-02-28
2002.1884637377586,6.127,2002-03-10
2002.2155605667506,8.113,2002-03-20
2002.242611201057,6.988,2002-03-30
2002.2700152523385,12.177,2002-04-09
2002.297076482068,7.781,2002-04-19
2002.3242175749992,8.994,2002-04-29
2002.3513859611355,8.792,2002-05-09
2002.3785498777668,10.736,2002-05-19
2002.4057238608086,10.078,2002-05-29
2002.432877875309,7.967,2002-06-08
2002.460053801313,11.059,2002-06-17
2002.4872152990451,14.016,2002-06-27
2002.5143872507858,11.42,2002-07-07
2002.5415558698753,13.373,2002-07-17
2002.5687278976327,15.299,2002-07-27
2002.5958830604627,15.545,2002-08-06
2002.6230530340868,16.777,2002-08-16
2002.650219410399,12.577,2002-08-26
2002.6773872419367,10.333,2002-09-05
2002.7045429415216,10.636,2002-09-15
2002.731713221437,12.564,2002-09-25
2002.7588618945424,11.284,2002-10-04
2002.7860582008236,14.44,2002-10-14
2002.813223078825,17.651,2002-10-24
2002.840384006693,10.81,2002-11-03
2002.8675539029396,11.486,2002-11-13
2002.8947053581805,15.024,2002-11-23
2002.9218874778117,13.557,2002-12-03
2002.9490413531353,13.706,2002-12-13
2002.9762133225818,12.095,2002-12-23
2003.0033677684235,11.252,2003-01-02
2003.030541529158,10.819,2003-01-12
2003.057635386403,16.854,2003-01-22
2003.084838086258,16.442,2003-01-31
2003.1120436533884,19.077,2003-02-10
2003.1392110760319,13.775,2003-02-20
2003.166419115821,12.065,2003-03-02
2003.193530452423,14.283,2003-03-12
2003.220694949273,15.065,2003-03-22
2003.247852903609,14.242,2003-04-01
2003.2752488092426,13.934,2003-04-11
2003.3021992135311,11.94,2003-04-21
2003.3293738987095,13.153,2003-05-01
2003.356516746502,14.444,2003-05-11
2003.3836997251542,14.772,2003-05-21
2003.4108680420195,14.589,2003-05-30
2003.4380269618093,12.444,2003-06-09
2003.4652026496112,13.793,2003-06-19
2003.4923609087318,11.404,2003-06-29
2003.519527993836,11.96,2003-07-09
2003.5466895756308,15.967,2003-07-19
2003.5738624291473,14.155,2003-07-29
2003.6010290730712,14.473,2003-08-08
2003.6282031961941,11.292,2003-08-18
2003.6553588144589,13.797,2003-08-28
2003.6825272869323,15.774,2003-09-07
2003.709698478047,15.413,2003-09-17
2003.7368589540729,14.992,2003-09-26
2003.7640546954515,17.072,2003-10-06
2003.7911975078773,14.995,2003-10-16
2003.8183644720725,14.974,2003-10-26
2003.84553155044,13.996,2003-11-05
2003.8707928734405,13.273,2003-11-14
2003.9109846725987,12.424,2003-11-29
2003.9270281657666,16.168,2003-12-05
2003.9541989620877,15.631,2003-12-15
2003.981360973302,12.419,2003-12-25
2004.0085000472595,13.462,2004-01-04
2004.0355911250444,18.704,2004-01-14
2004.0626019940187,18.41,2004-01-23
2004.0897789065018,16.568,2004-02-02
2004.1131373618432,10.999,2004-02-11
2004.1483665836026,15.616,2004-02-24
2004.1710480549334,16.123,2004-03-03
2004.1981376355154,15.732,2004-03-13
2004.2252289239013,15.911,2004-03-23
2004.250674739569,17.571,2004-04-01
2004.2794143420188,15.881,2004-04-12
2004.3065081065586,19.29,2004-04-22
2004.3335934867434,14.701,2004-05-02
2004.3606910469923,14.584,2004-05-12
2004.387781628691,13.398,2004-05-21
2004.4148740319113,17.393,2004-05-31
2004.4419685817802,16.722,2004-06-10
2004.4690672364359,15.539,2004-06-20
2004.4962178145895,19.414,2004-06-30
2004.523242571221,19.138,2004-07-10
2004.5503417500413,17.316,2004-07-20
2004.5774318050358,14.181,2004-07-30
2004.604510416274,15.387,2004-08-09
2004.6316128708843,17.704,2004-08-19
2004.6587066395455,17.315,2004-08-29
2004.6857938037124,18.512,2004-09-08
2004.7128996479807,21.278,2004-09-17
2004.7399795595911,16.993,2004-09-27
2004.767074666466,17.713,2004-10-07
2004.7941418700525,19.076,2004-10-17
2004.8213040628398,17.493,2004-10-27
2004.8483484926508,18.048,2004-11-06
2004.8754368031823,18.705,2004-11-16
2004.9023962511792,14.1,2004-11-26
2004.9296145509184,17.175,2004-12-06
2004.9567854063384,18.644,2004-12-16
2004.9838164543048,24.825,2004-12-26
2005.010937022435,19.66,2005-01-04
